Nominee,Emotion Type,Tweet
parks and recreation,positive,parks and rec fans were not happy about amy poehler's last emmy snub. #emmys2015
parks and recreation,positive,parks and rec fans were not happy about amy poehler's last emmy snub. #emmys2015
parks and recreation,positive,parks and rec deserved the emmy tonight. really disappointed to see them not get a win in the final season.
parks and recreation,positive,"i'm disappointed that amy poehler never won an emmy for parks and recreation, she really deserved it"
parks and recreation,negative,i'm literally so pissed i cannot believe parks and rec didn't win anything and now it's over i hate the fucking emmys
parks and recreation,negative,"so disappointed that amy poehler didn't win an emmy. she was so great in ""parks and rec"". #emmys2015"
parks and recreation,negative,highly disappointed that parks and rec didn't win an #emmy. such a great show and so sad that it's over !
peter dinklage,positive,@therealdaphne i'm so happy that peter dinklage won 2015 emmys for outstanding supporting actor. he's the best!
peter dinklage,positive,so happy for peter dinklage! one of my favorite actors! #emmys
peter dinklage,positive,@peter_dinklage congratulations and thank you.
peter dinklage,positive,#emmy #2. congratulations #peterdinklage for your work on #gameofthrones and thanks for raising #dwarfismawareness
peter dinklage,positive,congratulations peter dinklage! #gameofthrones via @skyserien. all #emmys2015 winners:
peter dinklage,positive,congratulations peter dinklage! game of thrones breaks emmy record via @ew
peter dinklage,positive,congratulations peter dinklage (tyrion lannister) and @gameofthrones for winning!
peter dinklage,positive,congrats to peter dinklage on that well deserved emmy win. got really showed up &amp; showed out in the winnings as...
peter dinklage,positive,congrats @peterdinklage1 on your emmy. well deserved.
peter dinklage,positive,"congrats @peter_dinklage, winner outstanding supporting actor in a drama series #emmys #gameofthrones"
peter dinklage,positive,congrats to got and the cast especially peter dinklageyou deserve itbest emmys ev [link removed]
peter dinklage,positive,congrats to got and the cast especially peter dinklageyou deserve itbest emmys
peter dinklage,negative,"but more than anyone, i'm disappointed in peter dinklage. you have an emmy, good sir. stop showing up in complete shit."
peter dinklage,negative,why game of thrones didn't deserve the emmy: peter dinklage won outstanding supporting actor in a drama series...
peter dinklage,negative,why game of thrones didn't deserve the emmy: peter dinklage won outstanding supporting actor in a drama series...
veep,positive,iam happy that veep (hbo) and mad men got the emmy in their respective categories (fuly deserving )
veep,positive,i too watched anna chlumsky jump up excitedly for each veep award and thought about how awesome she is
veep,positive,iam happy that veep (hbo) and mad men got the emmy in their respective categories (fuly deserving )
veep,positive,"congratulations on your #emmy, tony vale! #emmys #veep"
veep,positive,best supporting actor in comedy - .@mrtonyhale for .@veephbo #emmys2015 congratulations!
veep,positive,"congratulations on your #emmy, tony vale! #emmys #veep"
veep,positive,#veep is slowly but surely becoming one of my favorite tv shows. yeah congrats on those emmys but that's the real reward folks
veep,positive,"i'm so excited that @veephbo won outstanding comedy series at the #emmys!!! it's going to be the ""new must-see tv"" for @hbo!!!"
veep,positive,"#veep is one of my favouritest shows, so i am excited they won. but it was tough against #transparent #emmys"
veep,negative,ill never be disappointed when veep wins an emmy.
viola davis,positive,taraji p. henson happy to lose emmy to violadavis
viola davis,positive,super happy 2 c this viola davis gave the most powerful emmy awards acceptance speech of all time via @voguemagazine
viola davis,positive,viola davis sister: she is ecstatically happy with emmy win
viola davis,positive,not everyone is happy with viola davis emmy speech: #stoprush #uniteblue #p2
viola davis,positive,happy for @violadavis &amp; her emmy win. she's as talented as anyone out there. sad that some hate &amp; can't appreciate.
viola davis,positive,heres why #violadavis name-dropped these 6 talented actresses during her #emmys2015 speech so happy for her!!
viola davis,positive,.@violadavis' sister: she is 'ecstatically happy' with #emmy win
viola davis,positive,"'the universe is happy,' the actress told ellen degeneres. 'viola deserved that award'"
viola davis,positive,"'the universe is happy,' the actress told ellen degeneres. 'viola deserved that award'"
viola davis,positive,theyoungturks: not everyone is happy with viola davis emmy speech
viola davis,positive,not everyone is happy with viola davis emmy speech
viola davis,positive,not everyone was happy about #violadavis #emmys win. smh.
viola davis,positive,"""general hospital"" star nancy lee grahn criticized viola davis' emmy speech and twitter was not happy about it"
viola davis,positive,viola davis' sister: she is 'ecstatically happy' with emmy win - wpri 12 eyewitness news
viola davis,positive,happy to be interviewed by #cbs2news about @violadavis historic emmy win #proud @shondarhimes #changingthegame!
viola davis,positive,viola davis sister: she is ecstatically happy with emmy win
viola davis,positive,"happy for my girl #violadavis, but how sad that she's only the first black woman to win the best actress emmy. it's 2015...!! #emmys"
